	cluster	aDC	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	iDC	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Memory B-cells	MEP	Monocytes	mv Endothelial cells	Myocytes	naive B-cells	Neutrophils	NK cells	NKT	pDC	Plasma cells	Platelets	pro B-cells	Tgd cells	Th1 cells	Th2 cells	Tregs
NC22	non_COVID_19	1.84E-19	0.231796563	0.020057952	0	0.004406166	2.18E-18	0.011119673	0.042106318	0.016694221	0.147991803	0.118047592	0.072834968	0.074162142	0.040890583	1.09E-19	2.36E-18	0	0.007695736	0.036080905	0	2.08E-20	0.003347005	0.004257117	2.11E-19	0.1654933	0.074888698	0	0.012987555	0.002622234	0.081234144	0	2.18E-19	0.058558026	0.040506333	0.016683183	0.001685347	0.022106721	2.78E-17	0.131283035	7.48E-18	2.22E-18
NC23	non_COVID_19	0.09636462	0.148547209	0	0	0.010179662	0.008838225	0.015984226	0.048206858	0.001223649	0.091211252	0.092582968	0.033121144	0.018067041	0.029674669	1.16E-18	0	0	0.007574595	0	2.13E-18	0.011450801	0.023881766	0.010294679	1.70E-19	0.113719741	0.043140576	0.000512556	0.014662871	2.39E-19	0.04664846	0.00176091	0	0.063016778	0.029657877	0.017822832	2.74E-18	0.006527879	0	0.082338345	2.35E-17	2.77E-17
NC24	non_COVID_19	0	0.219431652	6.53E-18	3.65E-05	0.029916953	0.025588264	0.021041932	0.036375734	0.005039708	0.172296103	0.135874338	0.061150751	0.118765547	0.051973786	0.002329688	0	0.015607745	0.003870662	0.032413404	8.76E-20	0.000696743	0.002288364	0.002118236	0	0.130811147	0.025680543	6.28E-19	0.004001705	0.001516666	0.077985805	0	0	0.016488455	0.020240065	0.004153978	3.70E-19	0.00790002	3.56E-18	0.040001583	0.011774389	0
NC25	non_COVID_19	0.022616611	0.211689461	0	0	0.000266613	1.57E-20	0.044613176	0.05198042	0.030022939	0.214417011	0.174480444	0.075497103	0.109886575	0.027190947	1.33E-20	1.75E-18	0.017421528	0.00535778	0.037379807	4.17E-18	0.000875552	0.008629485	0.002417841	0	0.169615	0.105880298	0	0.015870825	2.55E-19	0.071542771	0	0	0.065817824	0.033026951	0.039472052	5.59E-19	0.021698385	1.25E-17	0.182573516	2.99E-18	3.46E-17
NC26	non_COVID_19	0.054229507	0.010895943	5.96E-19	0	7.51E-19	1.01E-17	2.70E-18	3.45E-18	0.003369822	4.28E-20	5.68E-19	0	0	0.011322827	1.34E-18	0.045386864	0.008000686	0.006216817	1.07E-17	0.005094754	0.038407267	0.026884977	0.007454873	0.000200579	0.018311352	0.044085051	4.60E-18	0.051166552	0	0.012262124	0.001034116	0	0.015715598	0	0.003746279	0.066337453	0.013406081	6.82E-18	0.057550936	0.007391842	1.16E-18
NC3	non_COVID_19	7.06E-21	0.006397969	0.038447639	0	0	5.02E-18	1.90E-19	1.51E-18	0	0	0	0	0.010138112	0.010994611	0	8.20E-20	1.06E-21	0.006265934	0.001429445	0	0.017294009	0.010317883	0.005827968	2.73E-20	0.009696198	0.014618307	0.00391457	0.01360553	0.003139236	0.005710198	0.012365444	1.15E-17	0.036921069	0.011658726	0.003414421	0.011706229	0	4.57E-18	0.018387197	0	1.50E-19
NC4	non_COVID_19	4.72E-19	0.023376163	0.010739305	0	0	0	0	0.013872497	0.000707831	0.091544355	0.082416836	0.036792711	0.042908	0.030881864	0	0.002774055	0.011337528	0.004111649	0.01374428	0	0.006350131	0.004196111	0.00080391	0.002331969	0.009523914	0.005448165	0	0.002619667	0.005433669	0.008477086	0.009771179	0.016369355	0.036056398	0.010017863	6.99E-19	0.031939115	0	1.95E-18	0.002859073	0.022405386	0.008275511
NC5	non_COVID_19	0.075516528	0.030001586	0.027941629	5.79E-20	6.79E-18	0	3.44E-18	0.04579987	0.00465306	0.098716918	0.092197742	0.088792923	0.02033472	0.00415139	8.80E-21	0.004275452	0.000654809	0.004543379	0	0	0.019850018	0.023239506	0.005060798	0	0.033583815	0.039169671	0	0.015767822	1.98E-19	0.008967856	0.00656829	0.018629108	0.039286059	0.036274727	0.01350486	0.020026083	2.24E-20	0	0.093261325	0.007812488	1.01E-17
NC6	non_COVID_19	0.076672958	0.074897853	0.005264693	0	0	0	0	0.037594976	0.005852481	0.21415413	0.201348785	0.130078501	0.072210673	0.016819302	0.001247816	0.001813624	0.000448357	0.000781081	0.044226103	7.43E-19	0.032683763	0.031734725	0.023724842	0.004887864	0.059830701	0.091683983	0	0.023200115	0.002249789	0.01611044	0	0	0.00571607	0.034517491	0.012169626	0.044089433	0.006203995	0	0.164161887	0.061442914	0
NC7	non_COVID_19	7.27E-19	0.115313479	1.40E-17	0.01220196	0.033783551	0.049375937	0.039504845	0.037578166	0.004062712	0.064698945	0.058833485	3.54E-20	0.0826736	0.066540972	0.000761446	7.30E-22	0.017684869	0.004442965	0.024638703	0	0.001658256	6.18E-19	0.007651767	1.07E-19	0.064180217	0.038107486	0	0.001649651	0.003951609	0.035388915	0.000953949	0	0.015291226	0.003648484	0	0.004359637	5.77E-19	0	0.007757025	0	0
NC8	non_COVID_19	0.002741962	0.104985061	0.025773465	1.35E-18	0.003651982	0.00086743	0.032765543	0.012003771	0.00545051	0.050607976	0.041387195	0.002227602	0.024676191	0.049647114	0	6.57E-19	0.004450396	0.004535492	1.31E-18	0	0.010546346	0.009115848	0.004463266	5.50E-20	0.063230564	0.018014151	0.002101054	0.008539104	0.003976735	0.039553596	0.009882262	1.59E-18	0.044854262	0.007527249	0.001745549	0.003595823	0.005928891	7.25E-18	0.015156869	0	0
NC9	non_COVID_19	0	0.265524742	0	0.060748297	0.070458227	0.094892084	0.077830564	0.051560511	0.016514513	0.209393963	0.184885803	0.034199664	0.043888607	0.094972539	0.00252188	0	0.009823273	0.002838738	0.075477866	6.56E-19	0	3.37E-19	0	0	0.12722601	0.03680918	0	0.001146006	0.002913574	0.072811671	2.53E-18	8.30E-19	0.00613278	0.000932482	0.00557475	0.002246893	3.39E-19	0	0.032764748	0.004343846	2.10E-17
